[INFO] Assigned value '1.500' to identifier x
[INFO] Assigned value '5' to identifier i
[INFO] Retrieved value of identifier 'i': '5'
[INFO] Retrieved value of identifier 'x': '1.500'
[INFO] Retrieved value of identifier 'i': '5'
[INFO] Retrieved value of identifier 'i': '5'
[INFO] Assigned value '31.250' to identifier z
[INFO] Assigned value 'Hola' to identifier s
[INFO] Retrieved value of identifier 'z': '31.250'
[INFO] Retrieved value of identifier 'i': '5'
[INFO] Retrieved value of identifier 'i': '5'
[INFO] Assigned value 'false' to identifier b
[INFO] Retrieved value of identifier 'x': '1.500'
[INFO] Retrieved value of identifier 'i': '5'
[INFO] Retrieved value of identifier 'z': '31.250'
[INFO] Retrieved value of identifier 's': 'Hola'
[INFO] Retrieved value of identifier 'b': 'false'
[INFO] Retrieved value of identifier 'i': '5'
[INFO] Retrieved value of identifier 'i': '5'
[INFO] Retrieved value of identifier 'i': '5'
[INFO] Retrieved value of identifier 'x': '1.500'
[INFO] Retrieved value of identifier 's': 'Hola'
[INFO] Retrieved value of identifier 's': 'Hola'
[INFO] Retrieved value of identifier 'i': '5'
[INFO] Retrieved value of identifier 'x': '1.500'
[INFO] Retrieved value of identifier 'b': 'false'
